"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 21 21:59:08 CET 2022","Wed Dec 21 21:59:19 CET 2022","11605","chromium","testingRedmine.spec.ts","","","","Registration on the site with valid data.",""
"passed","Wed Dec 21 21:56:39 CET 2022","Wed Dec 21 21:56:47 CET 2022","7329","chromium","testingRedmine.spec.ts","","","","Search results with valid entered data.",""
"passed","Wed Dec 07 16:51:12 CET 2022","Wed Dec 07 16:51:20 CET 2022","8253","chromium","","","","","Search results with valid entered data.",""
"passed","Wed Dec 21 21:59:08 CET 2022","Wed Dec 21 21:59:16 CET 2022","7992","chromium","testingRedmine.spec.ts","","","","Registration on the site with invalid data (empty fields).",""
"passed","Wed Dec 21 21:59:08 CET 2022","Wed Dec 21 21:59:15 CET 2022","6815","chromium","testingRedmine.spec.ts","","","","Search results with valid entered data.",""
"passed","Wed Dec 21 21:56:39 CET 2022","Wed Dec 21 21:56:47 CET 2022","7664","chromium","testingRedmine.spec.ts","","","","Search results with invalid entered data.",""
"passed","Wed Dec 21 21:56:39 CET 2022","Wed Dec 21 21:56:49 CET 2022","9497","chromium","testingRedmine.spec.ts","","","","Authorization on the site with valid data.",""
"passed","Wed Dec 21 21:56:39 CET 2022","Wed Dec 21 21:56:50 CET 2022","10733","chromium","testingRedmine.spec.ts","","","","Registration on the site with valid data.",""
"passed","Wed Dec 07 16:51:12 CET 2022","Wed Dec 07 16:51:22 CET 2022","10675","chromium","","","","","Registration on the site with valid data.",""
"passed","Wed Dec 21 21:56:39 CET 2022","Wed Dec 21 21:56:47 CET 2022","7780","chromium","testingRedmine.spec.ts","","","","Registration on the site with invalid data (empty fields).",""
"passed","Wed Dec 07 16:51:12 CET 2022","Wed Dec 07 16:51:20 CET 2022","8066","chromium","","","","","Authorization on the site with valid data.",""
"passed","Wed Dec 21 21:59:08 CET 2022","Wed Dec 21 21:59:15 CET 2022","7465","chromium","testingRedmine.spec.ts","","","","Search results with invalid entered data.",""
"passed","Wed Dec 07 16:51:12 CET 2022","Wed Dec 07 16:51:19 CET 2022","6972","chromium","","","","","Search results with invalid entered data.",""
"passed","Wed Dec 07 16:51:12 CET 2022","Wed Dec 07 16:51:18 CET 2022","6536","chromium","","","","","Registration on the site with invalid data (empty fields).",""
"passed","Wed Dec 21 21:59:08 CET 2022","Wed Dec 21 21:59:17 CET 2022","9366","chromium","testingRedmine.spec.ts","","","","Authorization on the site with valid data.",""
